Verze dat;Od;Do;Agregační funkce;Agregace;
reálná data;01.01.2015 00:00:00;10.01.2026 23:00:00;agregace průměr;hodina;
Datum;Zatížení s čerpáním [MW];Zatížení [MW];
01.01.2015 00:00;6815.35;6815.35;
01.01.2015 01:00;6721;6721;
01.01.2015 02:00;6606.917;6601.8;
01.01.2015 03:00;6634.833;6506.4;
01.01.2015 04:00;6957.633;6441.067;
01.01.2015 05:00;6853.2;6337.45;
01.01.2015 06:00;6773.683;6259.517;
01.01.2015 07:00;6736.7;6195.183;
01.01.2015 08:00;6741.983;6233.867;
01.01.2015 09:00;6710.717;6705.033;
01.01.2015 10:00;7099.667;7094.667;
01.01.2015 11:00;7236.017;7231.017;
01.01.2015 12:00;7312.2;7307.2;
01.01.2015 13:00;7361.967;7356.967;
01.01.2015 14:00;7474.883;7469.883;
01.01.2015 15:00;7547.233;7542.233;
01.01.2015 16:00;7721.683;7716.533;
01.01.2015 17:00;7848.833;7848.833;
01.01.2015 18:00;7809.25;7809.25;
01.01.2015 19:00;7648.667;7648.667;
01.01.2015 20:00;7513.917;7513.917;
01.01.2015 21:00;7160.65;7160.65;
01.01.2015 22:00;7010.633;6935.583;
01.01.2015 23:00;7155.15;6637.9;
02.01.2015 00:00;6498.2;6492.433;
02.01.2015 01:00;6794.45;6531.283;
02.01.2015 02:00;7428.417;6463.383;
02.01.2015 03:00;7392.95;6303.833;
02.01.2015 04:00;7109.9;6328.117;
02.01.2015 05:00;7300.917;6555.35;
02.01.2015 06:00;7444.083;6984.983;
02.01.2015 07:00;7312.75;7312.75;
02.01.2015 08:00;7647.25;7647.25;
02.01.2015 09:00;8061.25;8061.25;
02.01.2015 10:00;8394.267;8394.267;
02.01.2015 11:00;8575.333;8575.333;
02.01.2015 12:00;8618.116;8618.116;
02.01.2015 13:00;8697.45;8697.45;
02.01.2015 14:00;8695.4;8695.384;
02.01.2015 15:00;8807.634;8807.634;
02.01.2015 16:00;8772.467;8772.467;
02.01.2015 17:00;8785.8;8785.8;
02.01.2015 18:00;8640.833;8640.833;
02.01.2015 19:00;8480.767;8480.767;
02.01.2015 20:00;8253.517;8253.517;
02.01.2015 21:00;7875.3;7875.3;
02.01.2015 22:00;7509.033;7509.033;
02.01.2015 23:00;7278.917;7168.85;
03.01.2015 00:00;7089.25;6673.5;
03.01.2015 01:00;7542.533;6564.167;
03.01.2015 02:00;7685.917;6593.617;
03.01.2015 03:00;7611.5;6529.75;
03.01.2015 04:00;7362.467;6554.183;
03.01.2015 05:00;6988.383;6533.75;
03.01.2015 06:00;7021.083;6764.15;
03.01.2015 07:00;6950.167;6950.167;
03.01.2015 08:00;7167.367;7167.367;
03.01.2015 09:00;7647.35;7647.35;
03.01.2015 10:00;8014.05;8014.05;
03.01.2015 11:00;8118.933;8118.933;
03.01.2015 12:00;8178.183;8178.183;
03.01.2015 13:00;8243;8243;
03.01.2015 14:00;8228.8;8228.8;
03.01.2015 15:00;8272.884;8272.884;
03.01.2015 16:00;8511.533;8511.533;
03.01.2015 17:00;8474.9;8474.9;
03.01.2015 18:00;8404.283;8404.283;
03.01.2015 19:00;8205.267;8205.267;
03.01.2015 20:00;7972.233;7972.233;
03.01.2015 21:00;7537.433;7537.433;
03.01.2015 22:00;7331.083;7331.083;
03.01.2015 23:00;6989.3;6989.3;
04.01.2015 00:00;6699.15;6699.083;
04.01.2015 01:00;6873.967;6561.683;
04.01.2015 02:00;7266.817;6642.767;
04.01.2015 03:00;7391.1;6614.35;
04.01.2015 04:00;7673.283;6582.567;
04.01.2015 05:00;7492.8;6516.3;
04.01.2015 06:00;7792.033;6716.4;
04.01.2015 07:00;7747.383;6925.717;
04.01.2015 08:00;7375.45;7141.817;
04.01.2015 09:00;7693.75;7693.383;
04.01.2015 10:00;8114.65;8114.65;
04.01.2015 11:00;8295.15;8295.15;
04.01.2015 12:00;8268.333;8268.333;
04.01.2015 13:00;8250.55;8250.55;
04.01.2015 14:00;8242.083;8242.083;
04.01.2015 15:00;8322.95;8322.95;
04.01.2015 16:00;8511.6;8511.6;
04.01.2015 17:00;8771.65;8771.65;
04.01.2015 18:00;8782.233;8782.233;
04.01.2015 19:00;8642.9;8642.9;
04.01.2015 20:00;8461.217;8461.217;
04.01.2015 21:00;8008.067;8008.067;
04.01.2015 22:00;7783.417;7783.417;
04.01.2015 23:00;7476.533;7476.067;
05.01.2015 00:00;8123.867;7355.817;
05.01.2015 01:00;8436.7;7448.533;
05.01.2015 02:00;8499.1;7408.25;
05.01.2015 03:00;8241.667;7270.85;
05.01.2015 04:00;8156.4;7410.583;
05.01.2015 05:00;8517.116;7919.25;
05.01.2015 06:00;9085.15;9083.033;
05.01.2015 07:00;9738.7;9738.7;
05.01.2015 08:00;9902.783;9901.517;
05.01.2015 09:00;10087.22;10087.22;
05.01.2015 10:00;10166.63;10165.77;
05.01.2015 11:00;10195.03;10195.03;
05.01.2015 12:00;10290.95;10290.95;
05.01.2015 13:00;10357.42;10357.42;
05.01.2015 14:00;10200.72;10200.72;
05.01.2015 15:00;10280.33;10280.33;
05.01.2015 16:00;10394.02;10394.02;
05.01.2015 17:00;10432.57;10432.57;
05.01.2015 18:00;10231.52;10231.52;
05.01.2015 19:00;10114.47;10114.47;
05.01.2015 20:00;9703.45;9703.45;
05.01.2015 21:00;9193.866;9193.866;
05.01.2015 22:00;8679.5;8679.5;
05.01.2015 23:00;8218.467;8218.217;
06.01.2015 00:00;8567.184;7985.417;
06.01.2015 01:00;8953.417;8015.783;
06.01.2015 02:00;9010.017;7920.033;
06.01.2015 03:00;8870.75;7788.217;
06.01.2015 04:00;8646.25;7889.867;
06.01.2015 05:00;8841.634;8317.866;
06.01.2015 06:00;9415.583;9414.5;
06.01.2015 07:00;9951.333;9951.333;
06.01.2015 08:00;10017.27;10017.27;
06.01.2015 09:00;10114.58;10114.58;
06.01.2015 10:00;10100.67;10100.67;
06.01.2015 11:00;10060.4;10060.4;
06.01.2015 12:00;10131.63;10131.63;
06.01.2015 13:00;10088.75;10088.75;
06.01.2015 14:00;9958.333;9958.333;
06.01.2015 15:00;10081.25;10081.25;
06.01.2015 16:00;10263.25;10263.25;
06.01.2015 17:00;10556.1;10556.1;
06.01.2015 18:00;10401.75;10401.75;
06.01.2015 19:00;10376.52;10376.52;
06.01.2015 20:00;9964.283;9964.283;
06.01.2015 21:00;9392.667;9392.667;
06.01.2015 22:00;8876.934;8876.934;
06.01.2015 23:00;8436.917;8436.783;
07.01.2015 00:00;8608.05;8213.7;
07.01.2015 01:00;9037.616;8276.217;
07.01.2015 02:00;9058.884;8190.45;
07.01.2015 03:00;8962.616;8072.483;
07.01.2015 04:00;9147.066;8122.867;
07.01.2015 05:00;9406.066;8609.417;
07.01.2015 06:00;9712.85;9712.85;
07.01.2015 07:00;10242.85;10242.85;
07.01.2015 08:00;10298.82;10298.82;
07.01.2015 09:00;10470.88;10470.88;
07.01.2015 10:00;10513.38;10513.38;
07.01.2015 11:00;10519.67;10519.67;
07.01.2015 12:00;10596.13;10596.13;
07.01.2015 13:00;10631.6;10631.6;
07.01.2015 14:00;10528.83;10528.83;
07.01.2015 15:00;10639.67;10639.67;
07.01.2015 16:00;10638.92;10638.92;
07.01.2015 17:00;10751.92;10751.92;
07.01.2015 18:00;10567.65;10567.65;
07.01.2015 19:00;10467.03;10467.03;
07.01.2015 20:00;10115.45;10115.45;
07.01.2015 21:00;9506.05;9506.05;
07.01.2015 22:00;8958.967;8958.884;
07.01.2015 23:00;8913.217;8514.116;
08.01.2015 00:00;8929.983;8257.884;
08.01.2015 01:00;9399;8299.434;
08.01.2015 02:00;9326.884;8232;
08.01.2015 03:00;9212.733;8126.033;
08.01.2015 04:00;9265.267;8190;
08.01.2015 05:00;9279.733;8644.866;
08.01.2015 06:00;9737.517;9736.767;
08.01.2015 07:00;10246.28;10246.28;
08.01.2015 08:00;10361.05;10361.05;
08.01.2015 09:00;10460.15;10460.15;
08.01.2015 10:00;10454.05;10454.05;
08.01.2015 11:00;10397.53;10397.53;
08.01.2015 12:00;10527.12;10527.12;
08.01.2015 13:00;10496.88;10496.88;
08.01.2015 14:00;10487.25;10487.25;
08.01.2015 15:00;10576.63;10576.63;
08.01.2015 16:00;10540.85;10540.85;
08.01.2015 17:00;10628.42;10628.42;
08.01.2015 18:00;10397.75;10397.75;
08.01.2015 19:00;10287.35;10287.35;
08.01.2015 20:00;9904.2;9904.2;
08.01.2015 21:00;9303.983;9303.983;
08.01.2015 22:00;8771.95;8771.95;
08.01.2015 23:00;8535.4;8322.7;
09.01.2015 00:00;8602.217;8040.25;
09.01.2015 01:00;9184.6;8084.467;
09.01.2015 02:00;9039.733;7944.083;
09.01.2015 03:00;8909.233;7821.883;
09.01.2015 04:00;8971.116;7895.833;
09.01.2015 05:00;9102.417;8332.2;
09.01.2015 06:00;9462.384;9462.384;
09.01.2015 07:00;9949.833;9949.833;
09.01.2015 08:00;9983.783;9983.783;
09.01.2015 09:00;10146.27;10146.27;
09.01.2015 10:00;10203.32;10203.32;
09.01.2015 11:00;10190.62;10190.62;
09.01.2015 12:00;10205.85;10205.85;
09.01.2015 13:00;10181.52;10181.52;
09.01.2015 14:00;10091.12;10091.12;
09.01.2015 15:00;10181.75;10181.75;
09.01.2015 16:00;10243.72;10243.72;
09.01.2015 17:00;10182.5;10182.5;
09.01.2015 18:00;9899.083;9899.083;
09.01.2015 19:00;9738.65;9738.65;
09.01.2015 20:00;9290.134;9290.134;
09.01.2015 21:00;8674.167;8674.167;
09.01.2015 22:00;8126.967;8126.967;
09.01.2015 23:00;7789;7699.933;
10.01.2015 00:00;7195.15;7156.067;
10.01.2015 01:00;7177.433;7021.267;
10.01.2015 02:00;7404.633;7030.45;
10.01.2015 03:00;7667.033;6981.9;
10.01.2015 04:00;7707.75;6964.833;
10.01.2015 05:00;8019.283;6930.667;
10.01.2015 06:00;8277.333;7244.15;
10.01.2015 07:00;7626.25;7523.95;
10.01.2015 08:00;7779.4;7779.4;
10.01.2015 09:00;8197.884;8197.884;
10.01.2015 10:00;8558.2;8558.2;
10.01.2015 11:00;8722.134;8722.134;
10.01.2015 12:00;8579.45;8579.45;
10.01.2015 13:00;8421;8421;
10.01.2015 14:00;8292.616;8292.616;
10.01.2015 15:00;8322.55;8279.25;
10.01.2015 16:00;8480.1;8477.517;
10.01.2015 17:00;8452.767;8452.767;
10.01.2015 18:00;8342.116;8342.116;
10.01.2015 19:00;8142.867;8142.867;
10.01.2015 20:00;7879.05;7879.05;
10.01.2015 21:00;7433.133;7433.133;
10.01.2015 22:00;7108.7;7108.7;
10.01.2015 23:00;6916.967;6916.7;
11.01.2015 00:00;6997.15;6663.017;
11.01.2015 01:00;7146.2;6578.517;
11.01.2015 02:00;7167.55;6641.817;
11.01.2015 03:00;7056.417;6593.367;
11.01.2015 04:00;6865.633;6569.55;
11.01.2015 05:00;7085.5;6562.85;
11.01.2015 06:00;7422.667;6804.5;
11.01.2015 07:00;7435.333;7063.767;
11.01.2015 08:00;7419.867;7380.6;
11.01.2015 09:00;7945.167;7945.167;
11.01.2015 10:00;8427.9;8427.9;
11.01.2015 11:00;8562.017;8562.017;
11.01.2015 12:00;8506.467;8506.467;
11.01.2015 13:00;8470.017;8470.017;
11.01.2015 14:00;8454.75;8454.75;
11.01.2015 15:00;8475.616;8475.616;
